character,romaji,example,type,jlpt_level,meaning
あ,a,あめ (ame) - rain,hiragana,N5,
い,i,いぬ (inu) - dog,hiragana,N5,
う,u,うみ (umi) - sea,hiragana,N5,
え,e,えき (eki) - station,hiragana,N5,
お,o,おと (oto) - sound,hiragana,N5,
か,ka,かさ (kasa) - umbrella,hiragana,N5,
き,ki,きく (kiku) - to listen,hiragana,N5,
く,ku,くに (kuni) - country,hiragana,N5,
け,ke,けん (ken) - prefecture,hiragana,N5,
こ,ko,こえ (koe) - voice,hiragana,N5,
さ,sa,さけ (sake) - salmon/alcohol,hiragana,N5,
し,shi,しま (shima) - island,hiragana,N5,
す,su,すし (sushi) - sushi,hiragana,N5,
せ,se,せき (seki) - cough,hiragana,N5,
そ,so,そら (sora) - sky,hiragana,N5,
た,ta,たべる (taberu) - to eat,hiragana,N5,
ち,chi,ちず (chizu) - map,hiragana,N5,
つ,tsu,つき (tsuki) - moon,hiragana,N5,
て,te,てがみ (tegami) - letter,hiragana,N5,
と,to,とり (tori) - bird,hiragana,N5,
な,na,なつ (natsu) - summer,hiragana,N5,
に,ni,にく (niku) - meat,hiragana,N5,
ぬ,nu,ぬま (numa) - swamp,hiragana,N5,
ね,ne,ねこ (neko) - cat,hiragana,N5,
の,no,のみもの (nomimono) - drink,hiragana,N5,
は,ha,はな (hana) - flower,hiragana,N5,
ひ,hi,ひと (hito) - person,hiragana,N5,
ふ,fu,ふゆ (fuyu) - winter,hiragana,N5,
へ,he,へや (heya) - room,hiragana,N5,
ほ,ho,ほん (hon) - book,hiragana,N5,
ま,ma,まど (mado) - window,hiragana,N5,
み,mi,みず (mizu) - water,hiragana,N5,
む,mu,むし (mushi) - insect,hiragana,N5,
め,me,め (me) - eye,hiragana,N5,
も,mo,もの (mono) - thing,hiragana,N5,
や,ya,やま (yama) - mountain,hiragana,N5,
ゆ,yu,ゆき (yuki) - snow,hiragana,N5,
よ,yo,よる (yoru) - night,hiragana,N5,
ら,ra,らいねん (rainen) - next year,hiragana,N5,
り,ri,りんご (ringo) - apple,hiragana,N5,
る,ru,るす (rusu) - absence,hiragana,N5,
れ,re,れきし (rekishi) - history,hiragana,N5,
ろ,ro,ろく (roku) - six,hiragana,N5,
わ,wa,わたし (watashi) - I/me,hiragana,N5,
を,wo,ほんを読む (hon wo yomu) - read a book,hiragana,N5,
ん,n,にほん (nihon) - Japan,hiragana,N5,
が,ga,がっこう (gakkou) - school,hiragana,N5,
ぎ,gi,ぎんこう (ginkou) - bank,hiragana,N5,
ぐ,gu,ぐんたい (guntai) - army,hiragana,N5,
げ,ge,げんき (genki) - healthy/energetic,hiragana,N5,
ご,go,ごはん (gohan) - rice/meal,hiragana,N5,
ざ,za,ざっし (zasshi) - magazine,hiragana,N5,
じ,ji,じかん (jikan) - time,hiragana,N5,
ず,zu,ずかん (zukan) - picture book,hiragana,N5,
ぜ,ze,ぜんぶ (zenbu) - all,hiragana,N5,
ぞ,zo,ぞう (zou) - elephant,hiragana,N5,
だ,da,だいがく (daigaku) - university,hiragana,N5,
ぢ,ji,はなぢ (hanaji) - nosebleed,hiragana,N5,
づ,zu,みづうみ (mizuumi) - lake (old spelling),hiragana,N5,
で,de,でんわ (denwa) - telephone,hiragana,N5,
ど,do,どあ (doa) - door,hiragana,N5,
ば,ba,ばす (basu) - bus,hiragana,N5,
び,bi,びょういん (byouin) - hospital,hiragana,N5,
ぶ,bu,ぶたにく (butaniku) - pork,hiragana,N5,
べ,be,べんきょう (benkyou) - study,hiragana,N5,
ぼ,bo,ぼうし (boushi) - hat,hiragana,N5,
ぱ,pa,ぱん (pan) - bread,hiragana,N5,
ぴ,pi,ぴあの (piano) - piano,hiragana,N5,
ぷ,pu,ぷーる (puuru) - swimming pool,hiragana,N5,
ぺ,pe,ぺん (pen) - pen,hiragana,N5,
ぽ,po,ぽけっと (poketto) - pocket,hiragana,N5,
っ,(small tsu),がっこう (gakkou) - school,hiragana,N5,
ゃ,(small ya),きゃく (kyaku) - guest,hiragana,N5,
ゅ,(small yu),きゅう (kyuu) - nine,hiragana,N5,
ょ,(small yo),きょう (kyou) - today,hiragana,N5,
