kanji,id,keyword,components,on_reading,kun_reading,stroke_count,jlpt,romaji
一,1,one,,イチ; イツ,ひと-; ひと.つ,1,N5,ichi (ON); itsu (ON); hito- (KUN); hito.tsu (KUN)
二,2,two,,ニ; ジ,ふた; ふた.つ; ふたた.び,2,N5,ni (ON); ji (ON); futa (KUN); futa.tsu (KUN); futata.bi (KUN)
三,3,three,,サン; ゾウ,み; み.つ; みっ.つ,3,N5,san (ON); zou (ON); mi (KUN); mi.tsu (KUN); mi.tsu (KUN)
四,4,four,pent in; human legs,シ,よ; よ.つ; よっ.つ; よん,5,N5,shi (ON); yo (KUN); yo.tsu (KUN); yo.tsu (KUN); yon (KUN)
五,5,five,,ゴ,いつ; いつ.つ,4,N5,go (ON); itsu (KUN); itsu.tsu (KUN)
六,6,six,top hat; animal legs,ロク; リク,む; む.つ; むっ.つ; むい,4,N5,roku (ON); riku (ON); mu (KUN); mu.tsu (KUN); mu.tsu (KUN); mui (KUN)
七,7,seven,diced,シチ,なな; なな.つ; なの,2,N5,shichi (ON); nana (KUN); nana.tsu (KUN); nano (KUN)
八,8,eight,,ハチ,や; や.つ; やっ.つ; よう,2,N5,hachi (ON); ya (KUN); ya.tsu (KUN); ya.tsu (KUN); you (KUN)
九,9,nine,baseball,キュウ; ク,ここの; ここの.つ,2,N5,kyuu (ON); ku (ON); kokono (KUN); kokono.tsu (KUN)
十,10,ten,needle,ジュウ; ジッ; ジュッ,とお; と,2,N5,juu (ON); ji (ON); ju (ON); too (KUN); to (KUN)
口,11,mouth,,コウ; ク,くち,3,N4,kou (ON); ku (ON); kuchi (KUN)
日,12,day,sun,ニチ; ジツ,ひ; -び; -か,4,N5,nichi (ON); jitsu (ON); hi (KUN); -bi (KUN); -ka (KUN)
月,13,month,moon; flesh; part of the body,ゲツ; ガツ,つき,4,N5,getsu (ON); gatsu (ON); tsuki (KUN)
田,14,rice field,brains,デン,た,5,N4,den (ON); ta (KUN)
目,15,eye,,モク; ボク,め; -め; ま-,5,N4,moku (ON); boku (ON); me (KUN); -me (KUN); ma- (KUN)
古,16,old,tombstone; gravestone; church; ten; needle; mouth,コ,ふる.い; ふる-; -ふる.す,5,N4,ko (ON); furu.i (KUN); furu- (KUN); -furu.su (KUN)
吾,17,I,five; mouth,ゴ,われ; わが-; あ-,7,,go (ON); ware (KUN); waga- (KUN); a- (KUN)
冒,18,risk,sun; day; eye,ボウ,おか.す,9,N1,bou (ON); oka.su (KUN)
朋,19,companion,moon; month; flesh; part of the body,ホウ,とも,8,N1,hou (ON); tomo (KUN)
明,20,bright,sun; day; moon; month; flesh; part of the body,メイ; ミョウ; ミン,あ.かり; あか.るい; あか.るむ; あか.らむ; あき.らか; あ.ける; -あ.け; あ.く; あ.くる; あ.かす,8,N4,mei (ON); myou (ON); min (ON); a.kari (KUN); aka.rui (KUN); aka.rumu (KUN); aka.ramu (KUN); aki.raka (KUN); a.keru (KUN); -a.ke (KUN); a.ku (KUN); a.kuru (KUN); a.kasu (KUN)
唱,21,chant,mouth; prosperous; sun; day; tongue wagging,ショウ,とな.える,11,N1,shou (ON); tona.eru (KUN)
晶,22,sparkle,day; sun,ショウ,,12,N1,shou (ON)
品,23,goods,mouth,ヒン; ホン,しな,9,N4,hin (ON); hon (ON); shina (KUN)
呂,24,spine,mouth; drop,ロ; リョ,せぼね,7,N1,ro (ON); ryo (ON); sebone (KUN)
昌,25,prosperous,sun; day,ショウ,さかん,8,N1,shou (ON); sakan (KUN)
早,26,early,sunflower; sun; day; ten; needle,ソウ; サッ,はや.い; はや; はや-; はや.まる; はや.める; さ-,6,N4,sou (ON); sa (ON); haya.i (KUN); haya (KUN); haya- (KUN); haya.maru (KUN); haya.meru (KUN); sa- (KUN)
旭,27,rising sun,nine; baseball; sun; day,キョク,あさひ,6,N1,kyoku (ON); asahi (KUN)
世,28,generation,ten; twenty,セイ; セ; ソウ,よ; さんじゅう,5,N4,sei (ON); se (ON); sou (ON); yo (KUN); sanjuu (KUN)
胃,29,stomach,rice field; brains; moon; month; flesh; part of the body,イ,,9,N2,i (ON)
旦,30,nightbreak,sun; one; floor,タン; ダン,あき.らか; あきら; ただし; あさ; あした,5,N1,tan (ON); dan (ON); aki.raka (KUN); akira (KUN); tadashi (KUN); asa (KUN); ashita (KUN)
胆,31,gall bladder,gallbladder; moon; month; flesh; part of the body; nightbreak; sun; day; one; floor,タン,きも,9,N1,tan (ON); kimo (KUN)
